LeLd
58
48
48
52
52
55
56
59
53
52
51
50
50
53
51
49
56
58
59
58
52
56
47
51
47
53
47
50
44
45
51
54
50
55
52
52
48
53
52
47
58
56
58
54
55
52
56
53
55
52
54
52
55
53
56
56
54
54
53
53
48
55
52
54
62
61
58
60
54
57
55
57
59
56
58
58
57
56
57
59
57
56
49
47
41
39
53
52
48
53
51
44
53
51
52
46
52
54
54
57
59
57
56
39
57
58
58
56
57
59
55
57
52
53
51
51
51
48
47
52
48
52
47
49
51
49
48
47
50
48
52
55
57
56
57
54
58
56
43
60
55
59
57
52
56
55
54
53
53
54
56
56
59
56
58
54
55
58
55
52
58
55
55
54
54
57
58
55
57
56
53
56
58
55
57
57
57
57
56
54
55
61
58
55
56
55
55
54
54
57
56
53
52
54
54
53
54
53
51
54
54
57
56
56
54
55
50
50
55
57
53
51
49
55
58
56
56
57
56
57
56
55
55
58
59
57
56
41
53
55
54
57
53
51
58
57
47
50
54
53
52
48
48
48
48
51
48
53
48
52
47
50
49
51
49
54
50
50
47
26
48
52
49
50
50
51
50
49
52
48
54
48
48
51
47
42
52
48
52
48
52
51
50
52
55
51
55
48
48
50
49
52
49
48
51
47
53
47
42
51
52
54
49
54
52
50
51
53
53
51
50
32
51
52
51
48
53
48
53
51
54
50
57
57
61
58
53
55
56
57
54
59
58
57
54
56
57
56
58
55
56
55
54
54
55
55
54
52
30
51
57
52
54
53
52
52
52
53
54
55
52
54
58
60
58
64
75
84
75
58
58
59
59
57
59
55
60
55
56
57
56
61
51
52
49
37
42
44
44
52
47
52
57
60
58
52
52
53
46
29
51
51
51
54
52
50
48
52
49
52
56
50
50
50
50
53
52
52
52
51
51
52
57
52
55
55
53
52
56
54
54
55
55
56
55
52
33
53
52
57
56
57
56
51
49
52
57
53
53
54
55
54
55
52
52
53
54
55
53
52
49
53
56
55
53
55
55
55
56
53
57
55
54
57
56
52
51
52
56
52
52
51
51
51
51
52
54
57
55
45
61
60
59
58
59
59
58
59
59
59
60
59
60
60
57
54
54
57
58
58
60
57
59
56
57
60
59
58
57
61
57
58
61
59
59
57
58
58
57
57
60
58
58
59
57
56
58
59
55
58
56
58
58
59
57
54
54
53
57
58
56
51
59
55
58
57
56
55
55
57
58
54
56
58
55
57
56
55
54
54
54
54
54
55
53
56
55
53
53
57
62
62
54
53
57
56
58
53
54
54
55
54
53
57
50
52
51
53
51
51
57
54
54
51
53
53
45
52
49
58
56
55
53
54
53
53
51
50
54
51
52
56
49
51
51
52
58
62
58
57
57
62
56
59
62
58
54
55
60
58
59
60
60
61
56
61
56
57
60
57
59
56
55
51
36
57
55
58
58
50
49
49
49
33
51
50
47
48
51
50
65
44
38
39
47
35
53
53
53
48
53
