ReRd
51
44
46
48
48
50
53
54
46
45
47
44
46
42
46
44
51
53
54
57
46
52
47
45
48
38
45
47
46
46
50
51
49
52
53
54
52
49
48
48
59
55
55
54
54
54
53
57
52
48
53
52
56
55
56
54
53
52
54
54
41
52
54
56
52
50
52
49
50
49
50
51
51
50
52
50
50
52
49
50
49
50
45
35
33
37
45
42
43
45
45
45
43
41
48
41
43
45
45
57
55
55
55
46
55
51
54
53
52
50
53
53
44
44
46
47
46
47
46
45
47
46
47
48
45
45
46
45
45
47
55
56
52
53
53
53
52
50
44
48
50
52
53
51
53
50
50
51
51
51
49
52
51
51
52
52
51
51
48
50
51
46
50
50
51
50
50
53
50
50
49
52
50
50
50
52
49
50
48
50
52
50
50
50
50
50
47
47
48
47
47
40
47
49
46
47
49
50
51
52
51
51
50
52
46
47
46
51
44
50
49
47
48
53
53
52
51
50
50
55
52
51
52
53
52
53
55
43
46
51
56
53
54
53
53
53
49
54
55
48
47
46
49
47
50
51
52
45
45
46
51
54
54
55
49
50
52
49
40
42
48
45
49
46
46
48
49
52
49
50
50
50
48
47
50
43
50
51
49
51
50
48
49
52
51
53
51
52
51
51
51
47
49
46
47
42
47
44
39
50
48
50
48
50
51
50
50
50
47
47
50
35
45
52
51
52
52
49
51
51
53
53
57
55
54
55
54
55
55
53
55
53
54
54
55
38
52
53
54
53
53
54
51
49
51
52
52
51
44
50
50
52
52
51
52
50
52
51
49
52
52
50
55
54
53
55
60
62
61
50
50
51
50
49
50
50
52
50
48
47
47
52
42
40
37
31
31
34
33
43
41
42
50
50
50
42
42
43
39
43
42
39
42
40
43
46
42
43
43
44
44
42
42
43
44
42
44
43
44
45
44
45
49
48
48
49
46
51
46
50
51
50
51
48
48
49
40
48
48
46
46
47
50
44
47
47
48
47
49
50
47
48
49
46
48
49
49
49
50
48
39
43
47
50
50
49
48
49
50
49
48
50
51
49
47
50
49
48
40
48
51
48
48
45
51
50
50
51
53
39
42
42
43
43
41
41
41
44
42
43
43
43
43
35
42
45
43
44
45
46
46
41
46
45
44
44
42
42
42
42
44
43
42
45
44
43
44
44
44
46
47
44
43
44
45
42
46
43
46
45
39
40
42
40
39
42
42
40
41
42
41
31
44
42
41
43
42
42
43
42
44
42
41
40
39
39
39
37
36
37
35
35
36
37
38
34
37
38
37
32
27
33
38
42
45
42
42
37
38
41
42
40
39
42
41
44
43
44
44
44
48
48
45
50
49
52
29
32
48
49
47
52
45
50
50
53
53
49
48
52
53
55
51
53
51
60
57
57
57
54
55
55
54
58
55
52
54
50
52
56
57
56
54
53
53
54
53
53
52
56
53
54
50
45
44
52
53
55
52
47
49
49
48
31
40
42
52
52
56
52
47
29
40
42
21
35
47
47
51
55
49
