ReLd
55
61
61
60
61
51
52
51
56
58
59
59
58
65
59
60
51
52
50
48
59
53
59
58
58
70
58
58
63
58
58
55
59
58
58
56
58
57
60
56
50
51
53
54
55
56
54
52
55
54
54
54
55
53
52
54
51
57
55
53
71
52
50
52
48
49
53
53
51
53
52
51
51
52
52
52
51
52
52
50
52
52
58
68
74
69
56
59
62
60
62
60
60
58
59
69
59
55
57
52
51
50
53
60
50
49
52
49
51
51
48
52
58
59
58
58
60
57
57
60
58
57
60
57
59
57
59
58
58
57
47
50
52
50
51
50
53
51
64
56
52
51
51
51
49
51
50
52
50
51
53
50
50
50
51
51
51
51
52
52
50
54
54
51
51
52
51
52
51
53
52
51
51
52
49
51
51
50
52
53
51
51
52
51
50
52
55
53
54
55
53
66
54
53
53
53
54
52
51
53
53
53
52
50
54
53
54
54
60
53
55
56
55
49
49
48
51
51
50
52
50
53
50
52
50
52
50
62
59
51
49
50
50
51
53
50
57
50
50
51
53
56
58
60
59
59
62
66
58
61
62
62
61
58
58
57
59
57
64
66
56
57
58
57
58
56
59
57
58
57
60
58
58
68
57
68
60
57
59
59
59
59
58
57
59
61
53
54
59
59
58
60
59
59
57
70
59
62
68
59
59
57
60
61
59
60
60
60
63
58
59
71
68
58
57
58
57
60
59
60
61
57
53
53
52
54
54
52
52
52
52
53
52
54
53
71
51
52
50
53
54
52
55
56
57
56
57
57
64
55
54
55
55
56
55
53
54
55
55
55
55
54
52
52
53
48
40
36
38
50
53
52
53
52
52
51
51
52
54
54
55
51
60
60
65
70
71
69
68
61
61
63
54
54
52
60
60
58
63
65
59
60
62
63
60
61
60
61
59
61
60
59
61
59
61
60
59
60
59
61
60
57
54
55
54
55
55
54
56
53
51
52
52
54
55
54
66
54
53
50
52
54
54
59
63
62
58
53
54
54
54
53
55
54
55
54
52
53
53
54
67
61
53
53
54
54
54
54
53
53
53
52
54
54
52
54
54
54
64
53
56
53
58
57
55
53
51
52
50
60
48
49
48
51
48
49
48
48
48
48
50
50
49
63
50
48
49
49
48
50
50
50
48
50
50
51
50
50
51
50
49
51
51
52
52
50
49
50
47
49
53
47
49
50
48
49
50
47
48
49
52
55
52
53
53
53
53
53
52
53
51
68
53
54
52
54
52
53
52
54
53
51
53
53
54
53
56
54
57
57
57
59
57
58
60
59
63
60
62
66
73
63
56
57
55
54
53
56
57
61
59
59
58
60
64
61
61
60
60
60
59
59
59
58
60
58
80
78
56
60
59
57
60
56
58
56
57
59
61
56
57
54
57
56
60
49
50
48
51
51
52
53
52
50
51
52
53
55
54
52
51
49
53
53
52
54
54
53
53
53
53
52
54
63
63
52
51
50
52
58
57
58
57
80
73
71
60
57
56
58
62
76
71
68
85
74
64
64
56
56
58
