Dot Number,Position,Metric1,Metric2,Metric3,Metric4
0,top left,1.0,1.0,0.0,-5.46
0,top left,1.05,1.05,0.0004,-5.03
0,top left,1.12,1.12,0.001,-4.62
0,top left,1.05,1.05,0.0004,-5.05
0,top left,1.09,1.09,0.0007,-7.58
0,top left,1.02,1.02,0.0002,-5.08
0,top left,1.1,1.1,0.0008,-3.51
0,top left,1.1,1.1,0.0008,-2.82
0,top left,1.18,1.18,0.0013,-10.21
0,top left,1.24,1.24,0.0017,-6.0
0,top left,1.13,1.13,0.0011,-5.32
0,top left,1.08,1.08,0.0006,-5.07
0,top left,1.1,1.1,0.0008,-1.9
0,top left,1.12,1.12,0.001,-5.64
0,top left,1.01,1.01,0.0001,-7.76
0,top left,1.17,1.17,0.0013,-5.7
0,top left,1.09,1.09,0.0007,-5.72
0,top left,1.12,1.12,0.001,-6.64
0,top left,1.11,1.11,0.0008,-4.95
1,top center,1.01,0.99,0.0001,-5.52
1,top center,1.06,1.06,0.0005,-4.84
1,top center,1.1,1.1,0.0008,-1.1
1,top center,1.03,1.03,0.0003,-4.32
1,top center,1.06,1.06,0.0004,-7.24
1,top center,1.14,1.14,0.0011,-0.19
1,top center,1.0,1.0,0.0,-1.15
1,top center,1.01,1.01,0.0001,-1.48
1,top center,1.0,1.0,0.0,-0.87
1,top center,1.02,0.98,0.0002,-2.4
1,top center,1.06,1.06,0.0005,-1.92
1,top center,1.16,1.16,0.0012,-4.39
1,top center,1.05,0.96,0.0004,-5.63
1,top center,1.12,0.89,0.001,-6.48
1,top center,1.07,0.93,0.0007,-3.98
1,top center,1.13,0.88,0.0011,-2.12
1,top center,1.07,1.07,0.0006,-1.7
1,top center,1.05,1.05,0.0004,-2.86
1,top center,1.0,1.0,0.0,-6.27
1,top center,1.06,1.06,0.0005,1.01
1,top center,1.08,1.08,0.0006,-2.11
1,top center,1.06,1.06,0.0004,1.23
1,top center,1.12,1.12,0.0009,0.98
1,top center,1.16,1.16,0.0012,3.46
1,top center,1.15,1.15,0.0011,-0.98
1,top center,1.1,1.1,0.0008,4.39
1,top center,1.02,1.02,0.0001,2.74
1,top center,1.07,1.07,0.0005,1.47
1,top center,1.14,1.14,0.001,2.55
1,top center,1.12,1.12,0.0009,2.81
1,top center,1.2,1.2,0.0015,2.76
1,top center,1.24,1.24,0.0016,1.95
1,top center,1.06,1.06,0.0005,6.37
1,top center,1.04,1.04,0.0003,4.66
1,top center,1.13,1.13,0.001,9.2
1,top center,1.25,1.25,0.0018,6.59
1,top center,1.03,1.03,0.0003,6.76
1,top center,1.02,1.02,0.0001,-1.86
1,top center,1.07,1.07,0.0006,2.27
1,top center,1.11,1.11,0.0009,4.13
1,top center,1.2,1.2,0.0014,4.13
1,top center,1.16,1.16,0.0011,0.36
1,top center,1.11,1.11,0.0009,6.48
1,top center,1.06,1.06,0.0005,1.4
1,top center,1.09,1.09,0.0007,3.09
1,top center,1.18,1.18,0.0013,6.5
1,top center,1.07,1.07,0.0005,4.13
1,top center,1.04,0.96,0.0003,3.51
1,top center,1.13,1.13,0.001,5.82
1,top center,1.0,1.0,0.0,2.39
1,top center,1.0,1.0,0.0,-2.41
1,top center,1.08,0.93,0.0007,5.13
1,top center,1.11,1.11,0.001,0.71
1,top center,1.0,1.0,0.0,0.58
1,top center,1.02,0.98,0.0002,2.67
1,top center,1.07,1.07,0.0006,5.46
1,top center,1.08,0.92,0.0007,3.6
1,top center,1.07,0.93,0.0006,5.63
1,top center,1.07,1.07,0.0006,5.97
1,top center,1.01,0.99,0.0001,2.93
1,top center,1.0,1.0,0.0,4.38
1,top center,1.1,0.91,0.0009,4.73
1,top center,1.0,1.0,0.0,0.29
1,top center,1.06,0.94,0.0005,1.18
1,top center,1.04,0.96,0.0003,3.02
1,top center,1.0,1.0,0.0,0.54
1,top center,1.02,1.02,0.0001,3.43
1,top center,1.03,1.03,0.0002,3.75
1,top center,1.11,1.11,0.0008,1.4
1,top center,1.02,0.98,0.0002,0.95
1,top center,1.07,0.93,0.0006,-0.64
1,top center,1.09,0.92,0.0007,-2.94
1,top center,1.07,0.94,0.0005,-1.62
1,top center,1.04,1.04,0.0003,-1.61
1,top center,1.0,1.0,0.0,1.62
1,top center,1.07,1.07,0.0005,2.85
1,top center,1.08,0.93,0.0006,-3.81
1,top center,1.04,1.04,0.0003,2.37
1,top center,1.11,1.11,0.0008,-0.04
1,top center,1.03,0.97,0.0002,1.74
1,top center,1.04,1.04,0.0003,-0.75
1,top center,1.13,0.88,0.0012,3.98
1,top center,1.09,0.91,0.0009,2.33
1,top center,1.09,0.92,0.0009,-1.4
1,top center,1.05,0.95,0.0005,3.5
1,top center,1.2,0.83,0.0019,-1.09
1,top center,1.08,0.92,0.0008,0.5
1,top center,1.17,0.85,0.0016,4.09
1,top center,1.07,0.93,0.0007,2.97
1,top center,1.18,0.85,0.0017,0.83
1,top center,1.04,0.96,0.0004,-1.92
1,top center,1.03,1.03,0.0003,2.91
1,top center,1.08,0.93,0.0008,1.88
1,top center,1.05,0.95,0.0005,0.51
1,top center,1.13,0.89,0.0012,0.23
1,top center,1.1,0.91,0.001,3.81
1,top center,1.01,1.01,0.0001,-0.93
1,top center,1.02,0.98,0.0002,-1.0
1,top center,1.0,1.0,0.0,-2.54
1,top center,1.08,0.92,0.0008,0.38
1,top center,1.01,0.99,0.0001,-0.31
1,top center,1.08,0.92,0.0007,-2.94
1,top center,1.04,0.96,0.0003,0.0
1,top center,1.08,0.93,0.0007,-1.23
1,top center,1.08,1.08,0.0007,-2.86
1,top center,1.11,1.11,0.001,-1.82
1,top center,1.05,1.05,0.0005,-1.79
1,top center,1.05,1.05,0.0004,-1.27
1,top center,1.05,1.05,0.0004,-2.59
1,top center,1.06,1.06,0.0005,-4.32
1,top center,1.05,1.05,0.0004,-1.04
1,top center,1.02,1.02,0.0002,-2.17
1,top center,1.01,0.99,0.0001,-3.31
1,top center,1.08,1.08,0.0007,-3.4
1,top center,1.01,1.01,0.0001,-4.71
1,top center,1.04,1.04,0.0004,-1.78
1,top center,1.08,1.08,0.0007,-1.8
1,top center,1.01,0.99,0.0001,0.82
1,top center,1.0,1.0,0.0,1.09
1,top center,1.01,0.99,0.0001,-0.49
1,top center,1.02,0.98,0.0001,0.39
1,top center,1.09,1.09,0.0008,-3.67
1,top center,1.04,1.04,0.0004,-0.01
1,top center,1.02,1.02,0.0002,-1.87
1,top center,1.0,1.0,0.0,0.41
1,top center,1.09,0.92,0.0008,-1.21
1,top center,1.07,0.94,0.0006,-4.32
1,top center,1.01,0.99,0.0001,-0.12
1,top center,1.02,0.98,0.0002,-2.03
1,top center,1.01,1.01,0.0001,-2.89
1,top center,1.08,1.08,0.0007,-4.88
1,top center,1.2,1.2,0.0016,-0.01
1,top center,1.02,1.02,0.0001,-4.72
1,top center,1.08,1.08,0.0007,0.83
1,top center,1.14,1.14,0.0012,-0.9
1,top center,1.12,1.12,0.001,-0.05
1,top center,1.05,1.05,0.0004,-1.59
1,top center,1.05,1.05,0.0005,0.39
1,top center,1.11,1.11,0.001,0.01
1,top center,1.09,1.09,0.0008,-3.34
1,top center,1.09,1.09,0.0008,-1.58
1,top center,1.09,1.09,0.0008,-0.95
1,top center,1.01,0.99,0.0001,-4.09
1,top center,1.03,1.03,0.0003,-2.96
1,top center,1.15,1.15,0.0013,-0.71
1,top center,1.02,1.02,0.0002,1.42
1,top center,1.04,1.04,0.0004,-0.99
1,top center,1.06,0.95,0.0005,1.94
1,top center,1.07,1.07,0.0006,-1.72
1,top center,1.0,1.0,0.0,-1.27
1,top center,1.13,1.13,0.0011,-0.76
1,top center,1.07,1.07,0.0006,-1.59
1,top center,1.06,1.06,0.0006,-1.4
1,top center,1.07,1.07,0.0007,-0.94
1,top center,1.09,1.09,0.0008,-2.62
1,top center,1.07,0.93,0.0007,1.58
1,top center,1.01,0.99,0.0001,-3.6
1,top center,1.08,1.08,0.0007,-3.97
1,top center,1.03,1.03,0.0003,0.39
1,top center,1.02,1.02,0.0002,-6.06
1,top center,1.05,1.05,0.0004,-0.32
1,top center,1.13,1.13,0.0011,0.73
1,top center,1.1,1.1,0.0009,0.58
1,top center,1.09,1.09,0.0007,-2.39
1,top center,1.08,1.08,0.0007,-4.96
1,top center,1.05,1.05,0.0005,-3.66
1,top center,1.02,1.02,0.0002,-2.98
1,top center,1.1,1.1,0.0009,-2.85
1,top center,1.17,1.17,0.0015,-3.37
1,top center,1.07,1.07,0.0006,-4.07
1,top center,1.08,1.08,0.0007,-1.33
1,top center,1.04,1.04,0.0003,-0.25
1,top center,1.09,1.09,0.0008,-0.75
1,top center,1.1,1.1,0.0008,-3.1
1,top center,1.1,1.1,0.0008,2.18
1,top center,1.04,1.04,0.0003,1.7
1,top center,1.02,1.02,0.0002,0.94
1,top center,1.02,0.98,0.0002,-0.04
1,top center,1.07,1.07,0.0006,2.42
1,top center,1.07,1.07,0.0006,1.48
1,top center,1.12,1.12,0.001,-0.57
1,top center,1.09,1.09,0.0007,-4.9
1,top center,1.13,1.13,0.0011,1.28
1,top center,1.15,1.15,0.0013,-0.4
1,top center,1.02,0.98,0.0002,-2.2
1,top center,1.02,1.02,0.0002,-0.49
1,top center,1.04,1.04,0.0004,0.69
1,top center,1.06,0.95,0.0005,0.03
1,top center,1.01,1.01,0.0,-1.72
1,top center,1.02,1.02,0.0002,-2.38
1,top center,1.12,1.12,0.001,3.67
1,top center,1.05,1.05,0.0005,2.66
1,top center,1.05,0.96,0.0004,1.04
1,top center,1.04,1.04,0.0004,0.3
1,top center,1.02,1.02,0.0001,-1.3
1,top center,1.13,1.13,0.0011,-0.35
1,top center,1.11,1.11,0.0009,-1.44
1,top center,1.06,1.06,0.0005,0.09
1,top center,1.01,0.99,0.0001,-0.91
1,top center,1.07,1.07,0.0006,-0.63
1,top center,1.04,1.04,0.0004,1.17
1,top center,1.09,1.09,0.0008,0.63
1,top center,1.06,1.06,0.0005,-1.44
1,top center,1.08,1.08,0.0007,1.23
1,top center,1.06,1.06,0.0005,2.0
1,top center,1.14,1.14,0.0012,-0.45
1,top center,1.18,1.18,0.0015,1.47
1,top center,1.03,1.03,0.0003,-1.12
1,top center,1.1,1.1,0.0009,-0.23
1,top center,1.06,1.06,0.0005,-0.19
1,top center,1.11,1.11,0.0009,-0.7
1,top center,1.01,0.99,0.0,2.47
1,top center,1.01,0.99,0.0001,-1.08
1,top center,1.22,1.22,0.0019,-1.75
1,top center,1.01,0.99,0.0001,-0.31
1,top center,1.09,1.09,0.0009,-1.96
1,top center,1.09,1.09,0.0008,-0.03
1,top center,1.09,1.09,0.0008,0.26
1,top center,1.08,1.08,0.0007,-2.09
1,top center,1.02,1.02,0.0002,3.38
1,top center,1.0,1.0,0.0,3.36
1,top center,1.09,1.09,0.0009,0.13
1,top center,1.05,1.05,0.0004,-0.85
1,top center,1.03,1.03,0.0003,3.92
1,top center,1.03,0.97,0.0003,-0.2
1,top center,1.12,1.12,0.0011,-1.57
1,top center,1.11,1.11,0.0009,-1.66
1,top center,1.01,1.01,0.0001,-1.3
1,top center,1.04,1.04,0.0004,-3.97
1,top center,1.03,0.97,0.0003,0.86
1,top center,1.02,0.98,0.0002,-0.26
1,top center,1.07,1.07,0.0006,1.06
1,top center,1.09,1.09,0.0008,2.24
1,top center,1.03,1.03,0.0003,-1.3
1,top center,1.02,1.02,0.0001,-1.5
1,top center,1.01,1.01,0.0001,-3.96
1,top center,1.07,1.07,0.0006,0.04
1,top center,1.09,1.09,0.0008,-0.52
1,top center,1.03,1.03,0.0003,-0.14
1,top center,1.11,1.11,0.001,-3.8
1,top center,1.09,1.09,0.0007,-1.85
1,top center,1.05,1.05,0.0005,1.36
1,top center,1.01,1.01,0.0001,-0.75
1,top center,1.07,1.07,0.0007,1.05
1,top center,1.1,1.1,0.0009,0.66
1,top center,1.05,1.05,0.0004,1.12
1,top center,1.13,1.13,0.0011,1.16
2,top right,1.17,1.17,0.0015,-0.05
2,top right,1.14,1.14,0.0011,-1.49
2,top right,1.02,1.02,0.0002,-1.28
2,top right,1.19,1.19,0.0016,-0.88
2,top right,1.0,1.0,0.0,0.1
2,top right,1.02,1.02,0.0002,-1.44
2,top right,1.06,1.06,0.0005,-0.82
2,top right,1.02,0.98,0.0002,-1.19
2,top right,1.1,1.1,0.0009,0.43
2,top right,1.01,1.01,0.0001,-0.54
2,top right,1.09,1.09,0.0008,0.89
2,top right,1.03,1.03,0.0003,0.07
2,top right,1.06,1.06,0.0005,1.92
2,top right,1.08,0.93,0.0007,-1.53
2,top right,1.05,1.05,0.0004,-0.07
2,top right,1.02,1.02,0.0002,0.52
2,top right,1.07,1.07,0.0006,-1.4
2,top right,1.01,1.01,0.0001,-0.34
2,top right,1.01,0.99,0.0001,0.32
2,top right,1.04,1.04,0.0004,-4.41
2,top right,1.09,1.09,0.0008,0.29
2,top right,1.03,1.03,0.0003,2.43
2,top right,1.09,1.09,0.0008,-1.75
2,top right,1.02,1.02,0.0002,0.52
2,top right,1.11,1.11,0.0009,-1.94
2,top right,1.07,0.93,0.0006,-4.01
2,top right,1.05,0.95,0.0005,0.35
2,top right,1.05,1.05,0.0004,-2.28
2,top right,1.01,1.01,0.0001,-2.08
2,top right,1.08,1.08,0.0007,1.98
2,top right,1.05,1.05,0.0004,-2.87
2,top right,1.07,1.07,0.0006,2.45
2,top right,1.06,1.06,0.0005,0.01
2,top right,1.05,1.05,0.0005,1.31
2,top right,1.0,1.0,0.0,1.19
2,top right,1.05,1.05,0.0004,-2.48
2,top right,1.03,1.03,0.0003,-0.07
2,top right,1.05,1.05,0.0004,0.78
2,top right,1.01,1.01,0.0001,-2.27
2,top right,1.01,1.01,0.0001,-4.05
2,top right,1.07,1.07,0.0006,-0.48
2,top right,1.05,1.05,0.0004,-1.04
2,top right,1.08,1.08,0.0007,-1.59
2,top right,1.02,1.02,0.0001,-0.3
2,top right,1.07,1.07,0.0006,-0.05
2,top right,1.04,0.96,0.0003,3.28
2,top right,1.01,1.01,0.0001,-1.66
2,top right,1.07,1.07,0.0006,0.09
2,top right,1.02,1.02,0.0002,-3.17
2,top right,1.15,1.15,0.0013,0.07
2,top right,1.18,1.18,0.0015,-1.65
2,top right,1.05,1.05,0.0005,2.2
2,top right,1.06,1.06,0.0005,2.09
2,top right,1.0,1.0,0.0,-1.56
2,top right,1.03,1.03,0.0002,-2.05
2,top right,1.04,1.04,0.0004,0.73
2,top right,1.03,1.03,0.0003,0.42
2,top right,1.07,1.07,0.0006,2.44
2,top right,1.09,1.09,0.0008,3.55
2,top right,1.05,1.05,0.0005,-1.07
2,top right,1.06,1.06,0.0005,-2.72
2,top right,1.04,1.04,0.0004,3.69
2,top right,1.03,1.03,0.0002,-1.43
2,top right,1.03,1.03,0.0003,2.7
2,top right,1.03,0.97,0.0003,1.31
2,top right,1.08,1.08,0.0007,0.79
2,top right,1.13,1.13,0.0011,1.8
2,top right,1.14,1.14,0.0012,1.73
2,top right,1.0,1.0,0.0,-0.71
2,top right,1.03,0.97,0.0003,-0.82
2,top right,1.09,1.09,0.0008,2.62
2,top right,1.07,1.07,0.0006,1.44
2,top right,1.05,1.05,0.0005,1.17
2,top right,1.01,1.01,0.0001,1.27
2,top right,1.05,1.05,0.0005,-0.24
2,top right,1.05,1.05,0.0005,-2.23
2,top right,1.07,1.07,0.0006,0.28
2,top right,1.05,1.05,0.0005,0.3
2,top right,1.01,0.99,0.0001,-2.42
2,top right,1.06,1.06,0.0005,2.56
2,top right,1.18,1.18,0.0015,0.75
2,top right,1.04,1.04,0.0003,-2.01
2,top right,1.0,1.0,0.0,3.14
2,top right,1.03,0.97,0.0004,1.08
2,top right,1.02,1.02,0.0002,-0.81
2,top right,1.02,1.02,0.0002,-2.65
2,top right,1.07,1.07,0.0007,0.41
2,top right,1.06,0.95,0.0006,4.75
2,top right,1.06,1.06,0.0006,-1.72
2,top right,1.11,1.11,0.0012,-4.4
2,top right,1.01,1.01,0.0001,-4.07
2,top right,1.02,1.02,0.0002,-0.01
2,top right,1.0,1.0,0.0,-2.99
2,top right,1.16,1.16,0.0016,-0.2
2,top right,1.04,1.04,0.0005,-3.77
2,top right,1.06,1.06,0.0006,-2.03
2,top right,1.11,1.11,0.0011,1.44
2,top right,1.05,0.95,0.0006,-2.37
2,top right,1.04,0.96,0.0005,-2.24
2,top right,1.04,0.96,0.0004,0.5
2,top right,1.06,0.95,0.0006,-1.24
2,top right,1.02,0.98,0.0002,-2.04
2,top right,1.09,0.92,0.0009,-2.74
2,top right,1.06,1.06,0.0007,-2.37
2,top right,1.1,0.91,0.0011,-2.64
2,top right,1.02,1.02,0.0002,-1.17
2,top right,1.06,1.06,0.0006,-4.39
2,top right,1.09,1.09,0.0009,-3.0
2,top right,1.02,0.98,0.0002,-3.21
2,top right,1.07,1.07,0.0008,-7.33
2,top right,1.14,1.14,0.0015,-7.04
2,top right,1.05,1.05,0.0005,-1.47
2,top right,1.08,1.08,0.0009,-2.25
2,top right,1.06,1.06,0.0006,1.33
2,top right,1.0,1.0,0.0,-1.03
2,top right,1.01,1.01,0.0001,-3.92
2,top right,1.03,1.03,0.0003,-4.0
2,top right,1.01,0.99,0.0001,0.91
2,top right,1.02,1.02,0.0002,-0.41
2,top right,1.14,1.14,0.0014,-1.94
2,top right,1.03,0.97,0.0003,-3.43
2,top right,1.1,1.1,0.001,-1.11
2,top right,1.32,1.32,0.0031,-3.65
2,top right,1.16,1.16,0.0015,-2.31
2,top right,1.17,1.17,0.0016,1.76
2,top right,1.26,1.26,0.0023,5.09
2,top right,1.26,1.26,0.0023,8.18
2,top right,1.19,1.19,0.0018,4.16
2,top right,1.13,1.13,0.0012,3.48
2,top right,1.2,1.2,0.0019,8.19
2,top right,1.29,1.29,0.0026,2.23
2,top right,1.13,1.13,0.0011,3.44
2,top right,1.34,1.34,0.0033,3.22
2,top right,1.08,1.08,0.0008,6.02
2,top right,1.1,1.1,0.001,5.63
2,top right,1.2,1.2,0.0019,4.57
2,top right,1.01,1.01,0.0002,6.97
2,top right,1.12,1.12,0.0011,2.26
2,top right,1.16,1.16,0.0015,4.46
2,top right,1.06,1.06,0.0006,6.37
2,top right,1.14,1.14,0.0014,3.04
2,top right,1.1,1.1,0.0011,1.01
2,top right,1.8,1.8,0.0063,13.53
2,top right,1.79,1.79,0.0066,0.55
2,top right,1.35,1.35,0.0035,6.24
2,top right,1.25,1.25,0.0023,3.4
2,top right,1.31,1.31,0.003,1.85
2,top right,1.19,1.19,0.0018,2.35
2,top right,1.05,1.05,0.0005,1.14
2,top right,1.21,1.21,0.0021,0.0
2,top right,1.18,1.18,0.0018,-3.47
2,top right,1.17,1.17,0.0018,-4.25
2,top right,1.12,1.12,0.0013,-3.07
2,top right,1.13,1.13,0.0014,-0.19
2,top right,1.22,1.22,0.0022,-2.02
2,top right,1.11,1.11,0.0013,1.79
2,top right,1.05,1.05,0.0005,-1.09
2,top right,1.3,1.3,0.0028,2.47
2,top right,1.14,1.14,0.0015,-1.37
2,top right,1.13,1.13,0.0013,-0.96
2,top right,1.08,1.08,0.0009,-1.01
2,top right,1.17,1.17,0.0017,1.55
2,top right,1.14,1.14,0.0014,-1.04
2,top right,1.18,1.18,0.0018,-0.01
2,top right,1.2,1.2,0.0019,1.77
2,top right,1.17,1.17,0.0017,1.72
2,top right,1.23,1.23,0.0023,-1.22
2,top right,1.33,1.33,0.0033,-1.49
2,top right,1.16,1.16,0.0016,-2.21
2,top right,1.25,1.25,0.0023,1.99
2,top right,1.33,1.33,0.003,-0.75
2,top right,1.33,1.33,0.0029,0.78
2,top right,1.35,1.35,0.0031,-0.15
2,top right,1.28,1.28,0.0027,-1.58
2,top right,1.29,1.29,0.0029,-1.47
2,top right,1.27,1.27,0.0025,0.1
2,top right,1.34,1.34,0.0029,-0.4
2,top right,1.25,1.25,0.0025,-0.38
2,top right,1.14,1.14,0.0013,-0.38
2,top right,1.21,1.21,0.002,6.03
2,top right,1.16,1.16,0.0016,-1.37
2,top right,1.18,1.18,0.0017,0.43
