Dot Number,Position,Metric1,Metric2,Metric3,Metric4
2,top right,1.3,1.3,0.0025,1.86
2,top right,1.19,1.19,0.0018,3.3
2,top right,1.39,1.39,0.0032,3.77
2,top right,1.29,1.29,0.0025,2.58
2,top right,1.5,1.5,0.0041,-0.03
2,top right,1.28,1.28,0.0025,2.49
2,top right,1.25,1.25,0.0023,6.21
2,top right,1.26,1.26,0.0024,3.6
2,top right,1.11,1.11,0.0011,3.98
2,top right,1.3,1.3,0.0031,0.58
2,top right,1.18,1.18,0.0018,1.01
2,top right,1.08,1.08,0.0008,1.9
2,top right,1.2,1.2,0.0019,2.69
2,top right,1.21,1.21,0.002,3.3
2,top right,1.24,1.24,0.0021,2.01
2,top right,1.42,1.42,0.0037,2.93
2,top right,1.34,1.34,0.0029,5.43
2,top right,1.27,1.27,0.0024,1.28
2,top right,1.19,1.19,0.0018,-0.58
2,top right,1.23,1.23,0.0023,0.96
2,top right,1.13,1.13,0.0013,5.03
2,top right,1.16,1.16,0.0015,1.27
2,top right,1.26,1.26,0.0025,-0.3
2,top right,1.25,1.25,0.0024,1.71
2,top right,1.23,1.23,0.0022,-1.4
2,top right,1.17,1.17,0.0017,-5.73
2,top right,1.22,1.22,0.0022,-1.75
2,top right,1.23,1.23,0.0022,0.61
2,top right,1.22,1.22,0.002,2.4
3,middle left,1.16,1.16,0.0016,-2.87
3,middle left,1.23,1.23,0.0022,0.01
3,middle left,1.2,1.2,0.0019,0.57
3,middle left,1.37,1.37,0.0036,-1.58
3,middle left,1.19,1.19,0.0019,-2.2
3,middle left,1.09,1.09,0.0009,0.54
3,middle left,1.16,1.16,0.0016,-0.35
3,middle left,1.18,1.18,0.0018,0.27
3,middle left,1.03,1.03,0.0003,-6.16
3,middle left,1.1,1.1,0.001,3.28
3,middle left,1.07,1.07,0.0007,0.09
3,middle left,1.16,1.16,0.0017,-0.61
3,middle left,1.19,1.19,0.0019,0.03
3,middle left,1.09,1.09,0.001,-0.77
3,middle left,1.17,1.17,0.0017,2.38
3,middle left,1.22,1.22,0.0022,0.67
3,middle left,1.23,1.23,0.0022,-0.01
3,middle left,1.24,1.24,0.0024,6.94
3,middle left,1.17,1.17,0.0017,-1.16
3,middle left,1.04,1.04,0.0004,2.24
3,middle left,1.12,1.12,0.0013,0.75
3,middle left,1.24,1.24,0.0023,-1.32
3,middle left,1.25,1.25,0.0026,-1.82
3,middle left,1.16,1.16,0.0015,2.84
3,middle left,1.18,1.18,0.0018,2.93
3,middle left,1.17,1.17,0.0015,3.4
3,middle left,1.33,1.33,0.0029,2.96
3,middle left,1.24,1.24,0.0023,1.89
3,middle left,1.27,1.27,0.0024,1.99
3,middle left,1.24,1.24,0.0021,4.24
3,middle left,1.12,1.12,0.0012,3.02
3,middle left,1.29,1.29,0.0028,2.76
3,middle left,1.26,1.26,0.0025,4.0
3,middle left,1.17,1.17,0.0017,4.7
3,middle left,1.12,1.12,0.0011,0.58
3,middle left,1.12,1.12,0.0011,7.89
3,middle left,1.18,1.18,0.0018,4.5
3,middle left,1.2,1.2,0.0019,5.1
3,middle left,1.22,1.22,0.0021,1.78
3,middle left,1.22,1.22,0.0022,3.32
3,middle left,1.13,1.13,0.0013,4.26
3,middle left,1.11,1.11,0.0011,-0.07
3,middle left,1.26,1.26,0.0026,4.45
3,middle left,1.25,1.25,0.0024,3.73
3,middle left,1.06,1.06,0.0006,1.84
3,middle left,1.08,1.08,0.0009,7.04
3,middle left,1.04,1.04,0.0004,2.52
3,middle left,1.15,1.15,0.0014,7.19
3,middle left,1.2,1.2,0.0019,8.07
3,middle left,1.09,1.09,0.0009,4.18
3,middle left,1.07,1.07,0.0007,6.31
3,middle left,1.01,0.99,0.0001,1.14
3,middle left,1.08,1.08,0.0009,0.84
3,middle left,1.1,1.1,0.001,5.25
3,middle left,1.0,1.0,0.0,2.21
3,middle left,1.13,1.13,0.0012,8.55
3,middle left,1.14,1.14,0.0014,5.75
3,middle left,1.09,1.09,0.0009,3.99
3,middle left,1.22,1.22,0.0022,6.57
3,middle left,1.08,1.08,0.0008,8.08
3,middle left,1.11,1.11,0.0011,5.89
3,middle left,1.15,1.15,0.0014,4.83
3,middle left,1.14,1.14,0.0014,3.94
3,middle left,1.2,1.2,0.0019,9.51
3,middle left,1.05,1.05,0.0005,5.75
3,middle left,1.07,1.07,0.0007,8.18
3,middle left,1.08,1.08,0.0008,6.04
3,middle left,1.1,1.1,0.001,10.33
3,middle left,1.16,1.16,0.0015,5.34
3,middle left,1.08,1.08,0.0009,1.48
3,middle left,1.13,1.13,0.0013,1.11
3,middle left,1.06,1.06,0.0006,9.11
3,middle left,1.03,1.03,0.0003,3.52
3,middle left,1.0,1.0,0.0,6.43
3,middle left,1.02,1.02,0.0002,4.97
3,middle left,1.15,1.15,0.0015,6.39
3,middle left,1.09,1.09,0.0009,9.32
3,middle left,1.09,1.09,0.0009,0.67
3,middle left,1.09,1.09,0.0009,0.67
3,middle left,1.01,1.01,0.0001,6.04
3,middle left,1.04,1.04,0.0004,3.1
3,middle left,1.1,1.1,0.0009,4.29
3,middle left,1.16,1.16,0.0016,5.58
3,middle left,1.13,1.13,0.0013,3.85
3,middle left,1.06,1.06,0.0007,2.23
3,middle left,1.0,1.0,0.0,9.13
3,middle left,1.05,1.05,0.0005,9.65
3,middle left,1.06,1.06,0.0006,10.54
3,middle left,1.17,1.17,0.0017,4.48
3,middle left,1.08,1.08,0.0008,3.78
3,middle left,1.11,1.11,0.0011,6.98
3,middle left,1.05,1.05,0.0005,4.86
3,middle left,1.04,1.04,0.0004,8.84
3,middle left,1.06,1.06,0.0006,8.5
3,middle left,1.27,1.27,0.0026,6.8
3,middle left,1.14,1.14,0.0013,9.26
3,middle left,1.03,1.03,0.0003,6.37
3,middle left,1.02,1.02,0.0003,5.52
3,middle left,1.07,1.07,0.0007,7.18
3,middle left,1.11,1.11,0.001,4.35
3,middle left,1.12,1.12,0.0011,5.72
3,middle left,1.2,1.2,0.002,7.53
3,middle left,1.2,1.2,0.002,7.53
3,middle left,1.08,1.08,0.0008,6.94
3,middle left,1.0,1.0,0.0,2.98
3,middle left,1.1,1.1,0.001,4.01
3,middle left,1.05,1.05,0.0005,5.04
3,middle left,1.03,1.03,0.0003,0.73
3,middle left,1.09,1.09,0.0009,6.71
3,middle left,1.1,1.1,0.001,2.86
3,middle left,1.38,1.38,0.0031,2.0
3,middle left,1.48,1.48,0.0031,-2.85
3,middle left,1.49,1.49,0.0031,3.71
3,middle left,1.41,1.41,0.0026,-3.49
3,middle left,1.41,1.41,0.0026,-3.49
3,middle left,1.35,1.35,0.0023,-3.72
3,middle left,1.26,1.26,0.0017,-3.43
3,middle left,1.25,1.25,0.0016,-1.21
3,middle left,1.29,1.29,0.0017,-2.83
3,middle left,1.35,1.35,0.0022,-5.09
3,middle left,1.19,1.19,0.0013,-1.08
3,middle left,1.41,1.41,0.0024,-4.82
3,middle left,1.45,1.45,0.0026,-3.14
3,middle left,1.21,1.21,0.0015,-2.49
3,middle left,1.29,1.29,0.0017,-0.51
3,middle left,1.24,1.24,0.0016,-1.28
3,middle left,1.24,1.24,0.0016,-1.28
3,middle left,1.3,1.3,0.0019,-0.94
3,middle left,1.48,1.48,0.0029,0.92
3,middle left,1.34,1.34,0.0022,-4.29
3,middle left,1.43,1.43,0.0027,-2.56
3,middle left,1.63,1.63,0.0037,1.84
3,middle left,1.63,1.63,0.0037,-5.06
3,middle left,1.5,1.5,0.003,-4.57
3,middle left,1.68,1.68,0.0041,0.05
3,middle left,1.1,1.1,0.0007,-1.52
3,middle left,1.33,1.33,0.0021,-2.92
3,middle left,1.15,1.15,0.001,-3.89
3,middle left,1.09,1.09,0.0007,-1.74
3,middle left,1.14,1.14,0.001,-1.62
3,middle left,1.05,1.05,0.0004,-2.48
3,middle left,1.16,1.16,0.0012,1.22
3,middle left,1.19,1.19,0.0013,1.32
3,middle left,1.31,1.31,0.0019,5.34
3,middle left,1.25,1.25,0.0018,2.89
3,middle left,1.23,1.23,0.0016,5.52
3,middle left,1.27,1.27,0.0019,4.94
3,middle left,1.17,1.17,0.0012,6.67
3,middle left,1.24,1.24,0.0017,2.42
3,middle left,1.13,1.13,0.001,5.31
3,middle left,1.17,1.17,0.0012,9.48
3,middle left,1.3,1.3,0.0021,4.3
3,middle left,1.19,1.19,0.0014,4.66
3,middle left,1.17,1.17,0.0012,7.24
3,middle left,1.25,1.25,0.0018,3.59
3,middle left,1.22,1.22,0.0016,4.13
3,middle left,1.08,1.08,0.0007,5.19
3,middle left,1.15,1.15,0.0011,7.19
3,middle left,1.18,1.18,0.0013,3.9
3,middle left,1.15,1.15,0.0011,5.57
3,middle left,1.2,1.2,0.0015,5.97
3,middle left,1.05,1.05,0.0005,4.34
3,middle left,1.05,1.05,0.0005,4.34
3,middle left,1.11,1.11,0.0009,3.01
3,middle left,1.1,0.91,0.0008,-0.2
3,middle left,1.17,1.17,0.0012,5.2
3,middle left,1.06,1.06,0.0004,6.54
3,middle left,1.13,1.13,0.0009,4.59
3,middle left,1.05,1.05,0.0004,1.29
3,middle left,1.15,1.15,0.0009,3.5
3,middle left,1.33,1.33,0.0022,4.68
3,middle left,1.09,1.09,0.0007,9.17
3,middle left,1.15,1.15,0.0011,6.17
3,middle left,1.02,0.98,0.0002,2.58
3,middle left,1.02,0.98,0.0002,2.58
3,middle left,1.14,1.14,0.001,8.53
3,middle left,1.06,0.94,0.0005,2.69
3,middle left,1.06,0.94,0.0005,1.59
3,middle left,1.04,1.04,0.0003,2.29
3,middle left,1.1,1.1,0.0007,4.82
3,middle left,1.13,0.89,0.0009,-0.87
3,middle left,1.03,1.03,0.0003,1.54
3,middle left,1.15,1.15,0.0011,3.3
3,middle left,1.21,1.21,0.0014,0.64
3,middle left,1.06,0.94,0.0005,6.6
3,middle left,1.13,1.13,0.0009,3.81
3,middle left,1.13,1.13,0.0009,3.81
3,middle left,1.1,0.91,0.0008,4.36
3,middle left,1.03,1.03,0.0002,6.56
3,middle left,1.02,1.02,0.0002,5.04
3,middle left,1.01,1.01,0.0001,3.64
3,middle left,1.01,1.01,0.0001,4.87
3,middle left,1.05,0.96,0.0004,6.33
3,middle left,1.08,1.08,0.0006,5.08
3,middle left,1.09,1.09,0.0007,3.08
3,middle left,1.01,1.01,0.0,-0.01
3,middle left,1.03,1.03,0.0002,1.99
3,middle left,1.16,1.16,0.0011,2.47
3,middle left,1.16,1.16,0.0011,2.47
3,middle left,1.05,1.05,0.0004,3.95
3,middle left,1.12,0.9,0.0009,1.69
3,middle left,1.04,1.04,0.0003,3.17
3,middle left,1.15,1.15,0.0011,4.31
3,middle left,1.01,1.01,0.0001,4.88
3,middle left,1.07,0.93,0.0006,3.34
3,middle left,1.03,1.03,0.0003,5.53
3,middle left,1.0,1.0,0.0,4.79
3,middle left,1.03,0.97,0.0003,0.21
3,middle left,1.07,0.94,0.0006,-0.04
3,middle left,1.05,0.95,0.0004,-0.47
3,middle left,1.02,0.98,0.0001,2.66
3,middle left,1.04,1.04,0.0003,3.57
3,middle left,1.02,0.98,0.0001,1.38
3,middle left,1.14,1.14,0.0011,-1.49
3,middle left,1.03,1.03,0.0003,2.06
3,middle left,1.08,1.08,0.0006,3.37
3,middle left,1.04,1.04,0.0003,2.3
3,middle left,1.03,0.97,0.0002,1.48
3,middle left,1.12,0.89,0.0009,-1.25
3,middle left,1.1,1.1,0.0008,1.82
3,middle left,1.03,1.03,0.0002,4.85
3,middle left,1.05,1.05,0.0004,2.25
3,middle left,1.05,1.05,0.0004,2.25
3,middle left,1.21,1.21,0.0015,1.47
3,middle left,1.18,1.18,0.0014,2.99
3,middle left,1.06,1.06,0.0005,2.82
3,middle left,1.08,0.93,0.0006,0.86
3,middle left,1.1,0.91,0.0008,2.03
3,middle left,1.19,1.19,0.0013,0.7
3,middle left,1.04,1.04,0.0003,2.37
3,middle left,1.03,0.97,0.0003,1.18
3,middle left,1.03,0.97,0.0002,-0.35
3,middle left,1.07,0.94,0.0006,3.15
3,middle left,1.01,1.01,0.0001,3.86
3,middle left,1.01,1.01,0.0001,0.02
3,middle left,1.13,1.13,0.001,4.44
3,middle left,1.19,1.19,0.0015,1.17
3,middle left,1.07,0.93,0.0006,-3.61
3,middle left,1.03,1.03,0.0002,6.33
3,middle left,1.09,1.09,0.0007,3.27
3,middle left,1.03,0.97,0.0002,-4.04
3,middle left,1.01,0.99,0.0,1.36
3,middle left,1.0,1.0,0.0,-1.35
3,middle left,1.02,1.02,0.0002,5.21
3,middle left,1.03,1.03,0.0003,-0.16
3,middle left,1.08,0.92,0.0007,0.31
3,middle left,1.08,0.92,0.0007,0.31
3,middle left,1.07,1.07,0.0006,3.08
3,middle left,1.0,1.0,0.0,2.2
3,middle left,1.19,1.19,0.0013,3.13
3,middle left,1.15,1.15,0.0011,0.31
3,middle left,1.0,1.0,0.0,1.78
3,middle left,1.11,1.11,0.0008,2.98
3,middle left,1.32,1.32,0.0021,1.75
4,center,1.19,1.19,0.0014,6.25
4,center,1.19,1.19,0.0014,6.25
4,center,1.03,1.03,0.0002,2.67
4,center,1.18,1.18,0.0013,-0.12
4,center,1.08,1.08,0.0006,9.62
4,center,1.14,1.14,0.001,3.85
4,center,1.13,1.13,0.0009,6.25
4,center,1.22,1.22,0.0016,-0.2
4,center,1.2,1.2,0.0015,6.58
4,center,1.01,1.01,0.0001,2.64
4,center,1.09,1.09,0.0007,1.48
4,center,1.09,1.09,0.0008,3.02
4,center,1.09,1.09,0.0007,2.9
4,center,1.07,1.07,0.0005,2.02
4,center,1.15,0.87,0.0012,3.81
4,center,1.11,1.11,0.0008,0.53
4,center,1.1,1.1,0.0008,0.32
4,center,1.12,1.12,0.0009,1.56
4,center,1.08,1.08,0.0007,2.06
4,center,1.01,1.01,0.0001,3.18
4,center,1.13,1.13,0.001,3.8
4,center,1.18,1.18,0.0012,5.58
4,center,1.18,1.18,0.0013,1.44
4,center,1.0,1.0,0.0,-0.51
4,center,1.09,1.09,0.0007,1.9
4,center,1.09,1.09,0.0007,1.9
4,center,1.06,1.06,0.0004,1.97
4,center,1.01,0.99,0.0001,2.87
4,center,1.09,1.09,0.0007,3.72
4,center,1.02,0.98,0.0001,2.26
4,center,1.04,0.96,0.0003,0.72
4,center,1.07,0.93,0.0006,0.19
4,center,1.14,1.14,0.0011,0.46
4,center,1.02,1.02,0.0001,7.2
4,center,1.06,1.06,0.0005,7.02
4,center,1.01,0.99,0.0,1.61
4,center,1.01,0.99,0.0,1.61
4,center,1.07,1.07,0.0005,3.58
4,center,1.05,1.05,0.0004,4.29
4,center,1.18,1.18,0.0013,3.23
4,center,1.27,1.27,0.0018,1.92
4,center,1.17,1.17,0.0012,2.65
4,center,1.21,1.21,0.0014,3.57
4,center,1.01,0.99,0.0001,3.18
4,center,1.07,0.94,0.0005,1.94
4,center,1.08,1.08,0.0006,0.15
4,center,1.0,1.0,0.0,2.47
4,center,1.09,1.09,0.0007,1.04
4,center,1.09,1.09,0.0007,1.04
4,center,1.13,1.13,0.0009,4.06
4,center,1.1,0.91,0.0007,-0.44
4,center,1.06,1.06,0.0004,2.12
4,center,1.11,1.11,0.0009,5.25
4,center,1.01,0.99,0.0001,1.85
4,center,1.02,1.02,0.0001,2.52
4,center,1.2,0.83,0.0015,-0.35
4,center,1.01,1.01,0.0001,0.91
4,center,1.2,1.2,0.0013,4.4
4,center,1.06,1.06,0.0005,1.85
4,center,1.2,1.2,0.0013,3.81
4,center,1.2,1.2,0.0013,3.81
4,center,1.1,1.1,0.0008,4.78
4,center,1.2,1.2,0.0014,2.06
4,center,1.22,1.22,0.0016,0.36
4,center,1.1,1.1,0.0007,2.31
4,center,1.02,1.02,0.0001,4.3
4,center,1.35,1.35,0.0022,-0.22
4,center,1.01,1.01,0.0001,2.27
4,center,1.16,1.16,0.0011,3.2
4,center,1.15,1.15,0.0011,1.79
4,center,1.01,0.99,0.0001,5.24
4,center,1.12,1.12,0.0009,1.59
4,center,1.12,1.12,0.0009,1.59
4,center,1.05,1.05,0.0004,3.54
4,center,1.03,1.03,0.0003,4.19
4,center,1.1,1.1,0.0008,-0.98
4,center,1.19,1.19,0.0014,4.85
4,center,1.03,0.97,0.0002,1.38
4,center,1.07,1.07,0.0005,-0.28
4,center,1.03,1.03,0.0003,2.53
4,center,1.12,0.89,0.001,2.29
4,center,1.12,0.89,0.0012,-2.15
4,center,1.15,0.87,0.0013,1.05
4,center,1.18,0.85,0.0016,-1.53
4,center,1.18,0.85,0.0016,-1.53
4,center,1.12,0.89,0.0011,1.01
4,center,1.27,0.78,0.0023,4.07
4,center,1.15,0.87,0.0014,-1.49
4,center,1.26,0.79,0.0022,-1.57
4,center,1.12,0.9,0.0011,-2.17
4,center,1.06,0.94,0.0006,-3.95
4,center,1.13,0.88,0.0012,0.48
4,center,1.14,0.88,0.0013,-2.85
4,center,1.18,0.85,0.0017,-4.47
4,center,1.12,0.89,0.0011,-1.38
4,center,1.04,0.96,0.0004,-4.35
4,center,1.04,0.96,0.0004,-4.35
4,center,1.1,0.91,0.001,-0.17
4,center,1.07,0.93,0.0007,-7.73
4,center,1.05,0.96,0.0005,-4.42
4,center,1.08,0.93,0.0007,-4.54
4,center,1.06,1.06,0.0005,-1.68
4,center,1.22,0.82,0.0019,-1.68
4,center,1.07,0.94,0.0006,-2.13
4,center,1.07,1.07,0.0006,-1.41
4,center,1.02,1.02,0.0001,-0.34
4,center,1.04,1.04,0.0004,-2.19
4,center,1.0,1.0,0.0,-1.45
4,center,1.0,1.0,0.0,-1.45
4,center,1.02,0.98,0.0002,-5.95
4,center,1.01,1.01,0.0001,-9.08
4,center,1.01,1.01,0.0001,-0.24
4,center,1.13,1.13,0.0011,-2.95
4,center,1.11,1.11,0.0011,-1.18
4,center,1.03,1.03,0.0003,4.09
4,center,1.29,1.29,0.0022,-3.79
4,center,1.16,1.16,0.0014,-2.31
4,center,1.2,1.2,0.0017,-3.38
4,center,1.23,1.23,0.0018,-3.64
4,center,1.39,1.39,0.0029,-4.33
4,center,1.39,1.39,0.0029,-4.33
4,center,1.3,1.3,0.0023,0.72
4,center,1.28,1.28,0.0022,-2.82
4,center,1.24,1.24,0.002,1.39
4,center,1.35,1.35,0.0027,-2.67
4,center,1.44,1.44,0.003,-0.23
4,center,1.36,1.36,0.0028,0.28
4,center,1.18,1.18,0.0016,0.69
4,center,1.44,1.44,0.0033,-1.95
4,center,1.38,1.38,0.0029,-2.22
4,center,1.14,1.14,0.0013,-3.54
4,center,1.15,1.15,0.0013,-0.87
4,center,1.15,1.15,0.0013,-0.87
4,center,1.22,1.22,0.002,-3.56
4,center,1.07,1.07,0.0006,-1.63
4,center,1.19,1.19,0.0016,-8.15
4,center,1.2,1.2,0.0017,-5.17
4,center,1.38,1.38,0.0028,-1.65
4,center,1.31,1.31,0.0025,-0.12
4,center,1.31,1.31,0.0025,-0.77
4,center,1.33,1.33,0.0025,-1.46
4,center,1.41,1.41,0.0031,-1.5
4,center,1.29,1.29,0.0024,-2.35
4,center,1.26,1.26,0.0022,-5.36
4,center,1.26,1.26,0.0022,-5.36
4,center,1.16,1.16,0.0014,-1.28
4,center,1.26,1.26,0.0022,-7.56
4,center,1.3,1.3,0.0024,-1.8
4,center,1.26,1.26,0.0021,-6.83
4,center,1.33,1.33,0.0026,-6.77
4,center,1.27,1.27,0.0023,0.55
4,center,1.28,1.28,0.0023,-1.89
4,center,1.22,1.22,0.0018,-5.84
4,center,1.28,1.28,0.0022,-5.86
4,center,1.24,1.24,0.002,-0.58
4,center,1.23,1.23,0.0018,-9.0
4,center,1.23,1.23,0.0018,-9.0
4,center,1.26,1.26,0.0022,-6.22
4,center,1.32,1.32,0.0025,-1.99
4,center,1.21,1.21,0.0017,-7.4
4,center,1.3,1.3,0.0024,-4.74
4,center,1.31,1.31,0.0025,-3.87
4,center,1.3,1.3,0.0025,-4.27
4,center,1.23,1.23,0.0018,-7.99
4,center,1.14,1.14,0.0012,-2.36
4,center,1.44,1.44,0.0032,-3.24
4,center,1.31,1.31,0.0025,-6.07
4,center,1.24,1.24,0.0019,-6.03
4,center,1.24,1.24,0.0019,-6.03
4,center,1.24,1.24,0.0019,-1.46
4,center,1.19,1.19,0.0016,-3.67
4,center,1.21,1.21,0.0017,2.64
4,center,1.21,1.21,0.0018,-4.53
4,center,1.05,1.05,0.0004,-4.39
4,center,1.26,1.26,0.0022,0.28
4,center,1.22,1.22,0.0018,-4.29
4,center,1.21,1.21,0.0018,-0.19
4,center,1.09,1.09,0.0008,-7.36
4,center,1.17,1.17,0.0015,-6.48
4,center,1.31,1.31,0.0025,-2.77
4,center,1.31,1.31,0.0025,-2.77
4,center,1.22,1.22,0.0017,-4.07
4,center,1.18,1.18,0.0016,0.41
4,center,1.39,1.39,0.003,-5.08
4,center,1.18,1.18,0.0015,-5.16
4,center,1.29,1.29,0.0023,-3.04
4,center,1.19,1.19,0.0017,-6.27
4,center,1.08,1.08,0.0007,-4.31
4,center,1.14,1.14,0.0012,-5.2
4,center,1.01,1.01,0.0001,-7.26
4,center,1.09,1.09,0.0008,-4.31
4,center,1.0,1.0,0.0,-4.04
4,center,1.0,1.0,0.0,-4.04
4,center,1.07,1.07,0.0006,-4.92
4,center,1.22,1.22,0.0017,1.42
4,center,1.22,1.22,0.0017,-4.02
4,center,1.24,1.24,0.0018,-2.89
4,center,1.23,1.23,0.0019,-3.38
4,center,1.18,1.18,0.0016,-1.63
4,center,1.25,1.25,0.0019,-5.99
4,center,1.22,1.22,0.0019,-5.45
4,center,1.13,1.13,0.0012,-5.72
4,center,1.09,1.09,0.0008,-4.1
4,center,1.14,1.14,0.0013,-5.73
4,center,1.14,1.14,0.0013,-5.73
4,center,1.03,1.03,0.0003,-4.79
4,center,1.09,1.09,0.0008,-3.13
4,center,1.41,1.41,0.003,-6.4
4,center,1.31,1.31,0.0024,-0.92
4,center,1.25,1.25,0.002,-3.19
4,center,1.07,1.07,0.0006,-3.07
4,center,1.08,0.92,0.0007,0.45
4,center,1.16,1.16,0.0013,1.61
4,center,1.14,1.14,0.0012,-0.64
4,center,1.24,1.24,0.002,-4.14
4,center,1.15,1.15,0.0013,-1.93
4,center,1.15,1.15,0.0013,-1.93
4,center,1.31,1.31,0.0027,-2.42
4,center,1.28,1.28,0.0025,-2.65
4,center,1.28,1.28,0.0024,-2.14
4,center,1.36,1.36,0.0029,-2.3
4,center,1.19,1.19,0.0016,1.04
4,center,1.34,1.34,0.0027,-3.74
4,center,1.14,1.14,0.0012,-3.51
4,center,1.12,1.12,0.0011,-5.35
4,center,1.24,1.24,0.0019,-4.42
4,center,1.25,1.25,0.0021,-5.6
4,center,1.21,1.21,0.0018,-2.86
4,center,1.21,1.21,0.0018,-2.86
4,center,1.15,1.15,0.0014,-4.53
4,center,1.21,1.21,0.0018,-5.08
4,center,1.24,1.24,0.0021,-2.32
4,center,1.14,1.14,0.0012,-4.39
4,center,1.23,1.23,0.002,-2.42
4,center,1.19,1.19,0.0016,-4.61
4,center,1.18,1.18,0.0015,-7.56
4,center,1.26,1.26,0.0021,-1.76
5,middle right,1.21,1.21,0.0018,-0.01
5,middle right,1.09,1.09,0.0008,-5.26
5,middle right,1.15,1.15,0.0014,-2.46
5,middle right,1.29,1.29,0.0023,-5.42
5,middle right,1.16,1.16,0.0013,-6.22
5,middle right,1.18,1.18,0.0015,-3.65
5,middle right,1.34,1.34,0.0027,-3.4
5,middle right,1.14,1.14,0.0012,-2.17
5,middle right,1.1,1.1,0.001,-0.92
5,middle right,1.11,1.11,0.001,-4.72
5,middle right,1.18,1.18,0.0015,1.67
5,middle right,1.27,1.27,0.0022,-1.63
5,middle right,1.27,1.27,0.0022,-1.63
5,middle right,1.12,1.12,0.0011,0.04
5,middle right,1.19,1.19,0.0015,-4.43
5,middle right,1.22,1.22,0.0019,-4.08
5,middle right,1.3,1.3,0.0022,-5.13
5,middle right,1.23,1.23,0.0018,-2.51
5,middle right,1.27,1.27,0.0021,-1.92
5,middle right,1.24,1.24,0.002,-5.85
5,middle right,1.31,1.31,0.0025,-3.1
5,middle right,1.3,1.3,0.0025,-1.81
5,middle right,1.29,1.29,0.0023,0.34
5,middle right,1.27,1.27,0.0021,1.26
5,middle right,1.27,1.27,0.0021,1.26
5,middle right,1.29,1.29,0.0022,-3.73
5,middle right,1.3,1.3,0.0023,-0.82
5,middle right,1.23,1.23,0.0018,-1.7
5,middle right,1.31,1.31,0.0024,-1.9
5,middle right,1.24,1.24,0.0019,-3.77
5,middle right,1.31,1.31,0.0025,-6.24
5,middle right,1.28,1.28,0.0022,-6.53
5,middle right,1.22,1.22,0.0019,-3.0
5,middle right,1.19,1.19,0.0016,-6.93
5,middle right,1.38,1.38,0.0029,-7.71
5,middle right,1.16,1.16,0.0014,-6.98
5,middle right,1.16,1.16,0.0014,-6.98
5,middle right,1.22,1.22,0.0018,-6.46
5,middle right,1.34,1.34,0.0025,-6.61
5,middle right,1.27,1.27,0.0022,-3.35
5,middle right,1.4,1.4,0.0032,-3.11
5,middle right,1.26,1.26,0.0021,-5.1
5,middle right,1.31,1.31,0.0024,-5.11
5,middle right,1.29,1.29,0.0024,-5.43
5,middle right,1.3,1.3,0.0024,-5.12
5,middle right,1.28,1.28,0.0021,-3.77
5,middle right,1.3,1.3,0.0023,-3.85
5,middle right,1.3,1.3,0.0023,-3.85
5,middle right,1.24,1.24,0.0021,-4.53
5,middle right,1.2,1.2,0.0017,-6.83
5,middle right,1.13,1.13,0.0012,-8.39
5,middle right,1.17,1.17,0.0014,-4.64
5,middle right,1.21,1.21,0.0018,-3.38
5,middle right,1.29,1.29,0.0023,-4.36
5,middle right,1.23,1.23,0.0019,-2.4
5,middle right,1.27,1.27,0.0022,-5.17
5,middle right,1.21,1.21,0.0018,-5.38
5,middle right,1.24,1.24,0.0019,-3.5
5,middle right,1.25,1.25,0.0021,-5.49
5,middle right,1.25,1.25,0.0021,-5.49
5,middle right,1.29,1.29,0.0024,-1.82
5,middle right,1.15,1.15,0.0014,-7.15
5,middle right,1.33,1.33,0.0027,-6.92
5,middle right,1.22,1.22,0.0019,-2.99
5,middle right,1.13,1.13,0.0012,0.25
5,middle right,1.17,1.17,0.0015,-5.13
5,middle right,1.03,0.97,0.0004,-5.75
5,middle right,1.02,1.02,0.0002,-4.2
5,middle right,1.05,1.05,0.0005,-7.09
5,middle right,1.09,1.09,0.0009,-5.29
5,middle right,1.07,1.07,0.0008,-1.98
5,middle right,1.07,1.07,0.0008,-1.98
5,middle right,1.14,1.14,0.0014,-2.9
5,middle right,1.16,1.16,0.0015,-4.94
5,middle right,1.16,1.16,0.0016,-0.04
5,middle right,1.04,1.04,0.0004,-5.73
5,middle right,1.15,1.15,0.0015,-3.93
5,middle right,1.04,1.04,0.0004,-6.84
5,middle right,1.1,1.1,0.001,-4.99
5,middle right,1.2,1.2,0.0019,-1.29
5,middle right,1.23,1.23,0.0021,-3.02
5,middle right,1.2,1.2,0.0019,-1.48
5,middle right,1.07,1.07,0.0006,-5.39
5,middle right,1.07,1.07,0.0006,-5.39
5,middle right,1.23,1.23,0.0021,-3.15
5,middle right,1.21,1.21,0.002,-3.44
5,middle right,1.1,1.1,0.001,-3.62
5,middle right,1.3,1.3,0.0027,-3.25
5,middle right,1.22,1.22,0.002,-3.17
5,middle right,1.24,1.24,0.0023,-4.71
5,middle right,1.22,1.22,0.002,-4.74
5,middle right,1.14,1.14,0.0013,-1.53
5,middle right,1.24,1.24,0.0022,-0.99
5,middle right,1.13,1.13,0.0012,0.49
5,middle right,1.24,1.24,0.0022,-4.29
5,middle right,1.24,1.24,0.0022,-4.29
5,middle right,1.2,1.2,0.0019,-2.55
5,middle right,1.0,1.0,0.0,-7.84
